Severity,Captions
"bronchodilation and expansion, cystic changes, and surrounding patches of infection","['Figure 4. Representative images of the model's predictions. B. CT images of the control. The first image is an ordinary bacterial pneumonia, showing a consolidation of the right lower lobe. The second image has a tumorous lesion in the lung, showing a mass in the left upper lobe, with burrs seen at the edges, and showing leaf-like growth with vacuoles inside. The third image is a secondary pulmonary tuberculosis, showing a left apical fibrous cord. The fourth image is a bronchiectasis complicated with infection, showing bronchodilation and expansion, cystic changes, and surrounding patches of infection. The fifth image shows normal lungs. ']"
,"['Figure 4. Representative images of the model's predictions. B. CT images of the control. The first image is an ordinary bacterial pneumonia, showing a consolidation of the right lower lobe. The second image has a tumorous lesion in the lung, showing a mass in the left upper lobe, with burrs seen at the edges, and showing leaf-like growth with vacuoles inside. The third image is a secondary pulmonary tuberculosis, showing a left apical fibrous cord. The fourth image is a bronchiectasis complicated with infection, showing bronchodilation and expansion, cystic changes, and surrounding patches of infection. The fifth image shows normal lungs. ']"
,['Figure 2. CT findings in 4 patients with confirmed COVID-19. A. Patchy GGO distributed in subpleural area in left lower lung.']
,"['Figure 2. CT findings in 4 patients with confirmed COVID-19. B. A round-like, mixed GGO and consolidation lesion (with reversed halo sign) in subpleural area in right lower lung.']"
patchy or ground glass shadows in the chest CT images < 50%,"['Figure 3. The relationship of pulmonary inflammation and CRSL characteristics after COVID-19 infected.  A. Computed tomography of the chest of patients with COVID-19. According to the patchy or ground glass shadows in the chest CT images, the patients were divided into < 5 0 % and ≥ 5 0 % groups.']"
patchy or ground glass shadows in the chest CT images < 50%,"['Figure 3. The relationship of pulmonary inflammation and CRSL characteristics after COVID-19 infected.  A. Computed tomography of the chest of patients with COVID-19. According to the patchy or ground glass shadows in the chest CT images, the patients were divided into < 5 0 % and ≥ 5 0 % groups.']"
patchy or ground glass shadows in the chest CT images >= 50%,"['Figure 3. The relationship of pulmonary inflammation and CRSL characteristics after COVID-19 infected.  A. Computed tomography of the chest of patients with COVID-19. According to the patchy or ground glass shadows in the chest CT images, the patients were divided into < 5 0 % and ≥ 5 0 % groups.']"
patchy or ground glass shadows in the chest CT images >= 50%,"['Figure 3. The relationship of pulmonary inflammation and CRSL characteristics after COVID-19 infected.  A. Computed tomography of the chest of patients with COVID-19. According to the patchy or ground glass shadows in the chest CT images, the patients were divided into < 5 0 % and ≥ 5 0 % groups.']"
binocular conjunctival congestion,"['Fig. 3 Clinical photographs of the positive patient regarding conjunctivitis and chest CT: (D-F)dynamic changes of peripheral ground-glass opacities in both lungs (yellow arrows) which illuminate the pneumonia caused by SARS-COV-2 infection.The pulmonary lesions were aggravated on the 10th day, and the lesions were basically absorbed on the 18th day. ']"
"conjunctivitis completely subsided and did not recur 4
days after onset","['Fig. 3 Clinical photographs of the positive patient regarding conjunctivitis and chest CT: (D-F)dynamic changes of peripheral ground-glass opacities in both lungs (yellow arrows) which illuminate the pneumonia caused by SARS-COV-2 infection.The pulmonary lesions were aggravated on the 10th day, and the lesions were basically absorbed on the 18th day. ']"
"conjunctivitis completely subsided and did not recur 4
days after onset","['Fig. 3 Clinical photographs of the positive patient regarding conjunctivitis and chest CT: (D-F)dynamic changes of peripheral ground-glass opacities in both lungs (yellow arrows) which illuminate the pneumonia caused by SARS-COV-2 infection.The pulmonary lesions were aggravated on the 10th day, and the lesions were basically absorbed on the 18th day. ']"
binocular conjunctival congestion,"['Fig. 3 Clinical photographs of the positive patient regarding conjunctivitis and chest CT: (D-F)dynamic changes of peripheral ground-glass opacities in both lungs (yellow arrows) which illuminate the pneumonia caused by SARS-COV-2 infection.The pulmonary lesions were aggravated on the 10th day, and the lesions were basically absorbed on the 18th day. ']"
"conjunctivitis completely subsided and did not recur 4
days after onset","['Fig. 3 Clinical photographs of the positive patient regarding conjunctivitis and chest CT: (D-F)dynamic changes of peripheral ground-glass opacities in both lungs (yellow arrows) which illuminate the pneumonia caused by SARS-COV-2 infection.The pulmonary lesions were aggravated on the 10th day, and the lesions were basically absorbed on the 18th day. ']"
"conjunctivitis completely subsided and did not recur 4
days after onset","['Fig. 3 Clinical photographs of the positive patient regarding conjunctivitis and chest CT: (D-F)dynamic changes of peripheral ground-glass opacities in both lungs (yellow arrows) which illuminate the pneumonia caused by SARS-COV-2 infection.The pulmonary lesions were aggravated on the 10th day, and the lesions were basically absorbed on the 18th day. ']"
,['Figure 4. Chest CT images in the axial (left panel) and coronal view (right panel) of represented severe COVID-19 patient before and after receiving DIP adjunctive therapy. (A) Initial chest CT scan 10 days before DIP treatment.']
,['Figure 4. Chest CT images in the axial (left panel) and coronal view (right panel) of represented severe COVID-19 patient before and after receiving DIP adjunctive therapy. (B) Chest CT scan 5 days before DIP treatment.']
,['Figure 4. Chest CT images in the axial (left panel) and coronal view (right panel) of represented severe COVID-19 patient before and after receiving DIP adjunctive therapy. (C) Chest CT scan 2 days before DIP treatment.']
,['Figure 4. Chest CT images in the axial (left panel) and coronal view (right panel) of represented severe COVID-19 patient before and after receiving DIP adjunctive therapy. (D) Chest CT scan 2 days after DIP treatment.']
,['Figure 4. Chest CT images in the axial (left panel) and coronal view (right panel) of represented severe COVID-19 patient before and after receiving DIP adjunctive therapy. (E) Chest CT scan 7 days after DIP treatment.']
"In the lower of both lungs, there were large fuzzy shadows and GGO,
some slightly fan-shaped distribution","['Figure 7. Patient case CT scan. A: Patient ID 55, the nucleic acid detection result was negative, but the IgM and IgG results were positive. In the lower of both lungs, there were large fuzzy shadows and GGO, some slightly fan-shaped distribution. ']"
no obvious lesion was found in both lungs,"['Figure 7. Patient case CT scan. B: Patient ID 19, the nucleic acid detection result was positive, but the IgM and IgG results were negative, no obvious lesion was found in both lungs. ']"
,"['Figure 4 Variation in IL-6 and chest computed tomography in severe COVID-19 patients. (A) The elevated baseline IL-6 was correlated with the severity assessed by chest computed tomography (CT) scan, and the decrease in IL-6 after treatment was positively correlated with the improvement in chest CT images. ']"
,"['Figure 4 Variation in IL-6 and chest computed tomography in severe COVID-19 patients. (A) The elevated baseline IL-6 was correlated with the severity assessed by chest computed tomography (CT) scan, and the decrease in IL-6 after treatment was positively correlated with the improvement in chest CT images. ']"
with high fever and dyspnea,"['Figure 4 Variation in IL-6 and chest computed tomography in severe COVID-19 patients. (A) The elevated baseline IL-6 was correlated with the severity assessed by chest computed tomography (CT) scan, and the decrease in IL-6 after treatment was positively correlated with the improvement in chest CT images. ']"
,"['Figure 4 Variation in IL-6 and chest computed tomography in severe COVID-19 patients. (A) The elevated baseline IL-6 was correlated with the severity assessed by chest computed tomography (CT) scan, and the decrease in IL-6 after treatment was positively correlated with the improvement in chest CT images. ']"
,"['Figure 4 Variation in IL-6 and chest computed tomography in severe COVID-19 patients. (A) The elevated baseline IL-6 was correlated with the severity assessed by chest computed tomography (CT) scan, and the decrease in IL-6 after treatment was positively correlated with the improvement in chest CT images. ']"
,"['Figure 4 Variation in IL-6 and chest computed tomography in severe COVID-19 patients. (A) The elevated baseline IL-6 was correlated with the severity assessed by chest computed tomography (CT) scan, and the decrease in IL-6 after treatment was positively correlated with the improvement in chest CT images. ']"
,"['Figure 4 Variation in IL-6 and chest computed tomography in severe COVID-19 patients. (B) Three patients showed elevated IL-6 after treatment, which is associated with disease exacerbation and progressed CT imaging. ']"
,"['Figure 4 Variation in IL-6 and chest computed tomography in severe COVID-19 patients. (B) Three patients showed elevated IL-6 after treatment, which is associated with disease exacerbation and progressed CT imaging. ']"
patchy consolidation abutting the pleura in left upper lobe,['Figure 1. The typical manifestations in CT and chest X-ray for patients with COVID-19. Cross-sectional CT shows (A) patchy consolidation abutting the pleura in left upper lobe.  ']
large areas of consolidation with air bronchogram sign in right upper lobe,['Figure 1. The typical manifestations in CT and chest X-ray for patients with COVID-19. Cross-sectional CT shows (B) large areas of consolidation with air bronchogram sign in right upper lobe.  ']
Ground glass opacity in bilateral upper lobe,['Figure 1. The typical manifestations in CT and chest X-ray for patients with COVID-19. Cross-sectional CT shows (C) Ground glass opacity in bilateral upper lobe.  ']
"presenting with fever,
cough and shortness of breath","['Figure2. 57-year old man with history of recent travel to Wuhan, presenting with fever, cough and shortness of breath. Axial thin-section non-contrast CT scan shows diffuse bilateral confluent and patchy ground-glass, air-bronchogram and consolidation, characterized by peripheral distribution. Multiple lobes were involved.']"
"presenting with fever,
cough and shortness of breath","['Figure2. 57-year old man with history of recent travel to Wuhan, presenting with fever, cough and shortness of breath. Axial thin-section non-contrast CT scan shows diffuse bilateral confluent and patchy ground-glass, air-bronchogram and consolidation, characterized by peripheral distribution. Multiple lobes were involved.']"
"presenting with fever
and productive cough","['Figure 3. 76-year old man with history of recent travel to Wuhan, presenting with fever and productive cough. Axial thin-section non-contrast CT image shows diffusion lesions in bilateral lung, mainly manifested as ground-glass opacification (red arrow and red line around region), and cobble stone/Reticular pattern (blue arrow and blue line around region). Besides, Vascular enlargement sign was observed in the lesions (yellow arrow).']"
mild NCP patients,"['Figure5. 68-year old female as serve NCP patients with history of recent travel to Wuhan, presenting with fever and productive cough. Axial thin-section non-contrast CT image shows diffusion lesions in bilateral lung. A showed many CT features such as ground-glass opacification, cobblestone/reticular pattern (blue arrow and blue line around region), fibrosis and dilated bronchi with thickened wall (the enlarged image in the upper right corner, red arrow). B showed consolidation (pink arrow) and mixed pattern (yellow arrow and yellow line around region) in the bilateral lower lobes.']"
mild NCP patients,"['Figure5. 68-year old female as serve NCP patients with history of recent travel to Wuhan, presenting with fever and productive cough. Axial thin-section non-contrast CT image shows diffusion lesions in bilateral lung. A showed many CT features such as ground-glass opacification, cobblestone/reticular pattern (blue arrow and blue line around region), fibrosis and dilated bronchi with thickened wall (the enlarged image in the upper right corner, red arrow). B showed consolidation (pink arrow) and mixed pattern (yellow arrow and yellow line around region) in the bilateral lower lobes.']"
Serious Conditions Infected With NCP,"['Figure 2 Chest Computed Tomographic Images of two Discharged Patients of Serious Conditions Infected With NCP. Baseline CT images at admission of the first discharged patient (IP: C56, 57 years) show multiple patchy pure ground glass opacity (GGO), GGO with reticular and/or interlobular septal thickening (A). ']"
Serious Conditions Infected With NCP,"['Figure 2 Chest Computed Tomographic Images of two Discharged Patients of Serious Conditions Infected With NCP. After the disease progressed, Follow-up CT images at 7 day show pulmonary consolidation occurred, lung parenchyma from peripheral to the central lung interstitium (B). ']"
Serious Conditions Infected With NCP,['Figure 2 Chest Computed Tomographic Images of two Discharged Patients of Serious Conditions Infected With NCP. Follow-up CT images at 21 day show most of the lesions were absorbed and some of them showed changes of pulmonary interstitial fibrosis (C). ']
Serious Conditions Infected With NCP,"['Figure 2 Chest Computed Tomographic Images of two Discharged Patients of Serious Conditions Infected With NCP. Baseline CT images at admission of the second discharged patient (IP: C54, 37years) show multiple patchy pure ground glass opacity (GGO), GGO with reticular and/or interlobular septal thickening (D). ']"
Serious Conditions Infected With NCP,"['Figure 2 Chest Computed Tomographic Images of two Discharged Patients of Serious Conditions Infected With NCP. After the disease progressed, Follow-up CT images at 9 day show pulmonary consolidation occurred, from peripheral pulmonary parenchyma to the central lung interstitium (E). ']"
Serious Conditions Infected With NCP,['Figure 2 Chest Computed Tomographic Images of two Discharged Patients of Serious Conditions Infected With NCP. Follow-up CT images at 21 day show most of the lesions were absorbed and some of them showed changes of pulmonary interstitial fibrosis (F). ']
Intralobular septal thickening and parenchymal bands in the right lower lobe,['Figure 1. Representative chest CT images from multiple patients. Various radiographic abnormalities are present as follows: 1. Intralobular septal thickening and parenchymal bands in the right lower lobe.']
A small region of subpleural ground glass opacity with partial consolidation in the right lower lobe,['Figure 1. Representative chest CT images from multiple patients. Various radiographic abnormalities are present as follows: 2. A small region of subpleural ground glass opacity with partial consolidation in the right lower lobe. ']
A small region of subpleural consolidation in the posterior right upper lobe,['Figure 1. Representative chest CT images from multiple patients. Various radiographic abnormalities are present as follows: 3. A small region of subpleural consolidation in the posterior right upper lobe.  ']
"Bilateral multilobular ground glass opacity and partial consolidation, and a pneumatocele in the right upper lobe","['Figure 1. Representative chest CT images from multiple patients. Various radiographic abnormalities are present as follows: 4. Bilateral multilobular ground glass opacity and partial consolidation, and a pneumatocele in the right upper lobe. ']"
"Bilateral consolidation in the peripheral regions of the upper lobes, with inter- and intra-lobular septal thickening (crazy paving
pattern).","['Figure 1. Representative chest CT images from multiple patients. Various radiographic abnormalities are present as follows: 5. Bilateral consolidation in the peripheral regions of the upper lobes, with inter- and intra-lobular septal thickening (crazy paving pattern).']"
"Bilateral consolidation in the subpleural region of lower lobes, with parenchymal bands. Air
bronchograms are present in the right lower lobe","['Figure 1. Representative chest CT images from multiple patients. Various radiographic abnormalities are present as follows: 6. Bilateral consolidation in the subpleural region of lower lobes, with parenchymal bands. Air bronchograms are present in the right lower lobe.']"
Diffuse consolidation in the right lower lobe. Ground glass opacity with partial consolidation in multiple lobes of left lung,['Figure 1. Representative chest CT images from multiple patients. Various radiographic abnormalities are present as follows: 7. Diffuse consolidation in the right lower lobe. Ground glass opacity with partial consolidation in multiple lobes of left lung.']
Bilateral diffuse consolidation with air bronchograms in the lower lobes. Multiple areas of patchy consolidation in the right middle lobe,['Figure 1. Representative chest CT images from multiple patients. Various radiographic abnormalities are present as follows: 8. Bilateral diffuse consolidation with air bronchograms in the lower lobes. Multiple areas of patchy consolidation in the right middle lobe. ']
Bilateral diffuse consolidation with air bronchograms,['Figure 1. Representative chest CT images from multiple patients. Various radiographic abnormalities are present as follows: 9. Bilateral diffuse consolidation with air bronchograms.']
<=3d course of disease group,['Figure 1 A: chest CT of two patients.']
<=3d course of disease group,['Figure 1 A: chest CT of two patients.']
<=3d course of disease group,['Figure 1 A: chest CT of two patients.']
>3d course of disease group,['Figure 1 B: chest CT of two patients.']
>3d course of disease group,['Figure 1 B: chest CT of two patients.']
>3d course of disease group,['Figure 1 B: chest CT of two patients.']
,"['FIGURE 1, Typical imaging for heart failure and COVID-19 pneumonia. A, Heart failure with bilateral diffuse disease. The disease presented with a gradient distribution and partial GGO and consolidation inside, accompanied with subpleural effusion. Peribronchovascular and septal thickening were also found. ']"
,"['FIGURE 1, Typical imaging for heart failure and COVID-19 pneumonia. B, Heart failure with bilateral diffuse GGO disease. Peribronchovascular thickening, clear interlobular septal thickening even fissural thickening were found without subpleural effusion. ']"
,"['FIGURE 1, Typical imaging for heart failure and COVID-19 pneumonia. C, COVID-19 with single rounded subpleural GGO in left lung.']"
,"['FIGURE 1, Typical imaging for heart failure and COVID-19 pneumonia. D, COVID-19 with rounded GGO in bilateral lungs, partial consolidation was found inside.']"
"Big patchy GGO in left lung and sporadic GGO in right lung. Peribronchovascular thickening, fissural thickening (arrow) were also found with subpleural effusion.","['FIGURE 2, Different imaging features for heart failure and COVID-19. A, Big patchy GGO in left lung and sporadic GGO in right lung. Peribronchovascular thickening, fissural thickening (arrow) were also found with subpleural effusion.']"
Subpleural GGO with band-shaped morphology (arrow) in the dorsal segment of bilateral lungs. Interlobular septal thickening and cardiac enlargement were also found,"['FIGURE 2, Different imaging features for heart failure and COVID-19. B, Subpleural GGO with band-shaped morphology (arrow) in the dorsal segment of bilateral lungs. Interlobular septal thickening and cardiac enlargement were also found.']"
"Patchy lesion of Crazy Paving Pattern in right upper lung with partial consolidation inside. Small pulmonary vein enlargement (arrow) was also found, accompanied with subpleural effusion in the right lung","['FIGURE 2, Different imaging features for heart failure and COVID-19. C, Patchy lesion of Crazy Paving Pattern in right upper lung with partial consolidation inside. Small pulmonary vein enlargement (arrow) was also found, accompanied with subpleural effusion in the right lung. ']"
Patchy lesion of Crazy Paving Pattern in right upper lung with partial consolidation inside,"['FIGURE 2, Different imaging features for heart failure and COVID-19. D, Big patchy GGO in left lung. Interlobular septal thickening was also found inside.']"
Multiple disease mixed with GGO and consolidation in bilateral lungs.,"['FIGURE 2, Different imaging features for heart failure and COVID-19. E, Multiple disease mixed with GGO and consolidation in bilateral lungs.  Fibrous lesion (arrow) was found in the left lung.']"
Patchy lesion of Crazy Paving Pattern in left upper lung with partial consolidation inside.,"['FIGURE 2, Different imaging features for heart failure and COVID-19. F, Patchy lesion of Crazy Paving Pattern in left upper lung with partial consolidation inside.']"
"Diffuse disease mixed with GGO and consolidation in bilateral upper lungs, accompanied with interlobular septal thickening and subpleural effusion","['FIGURE 3, CT imaging of a patient with both heart failure and COVID-19. A, Diffuse disease mixed with GGO and consolidation in bilateral upper lungs, accompanied with interlobular septal thickening and subpleural effusion.']"
Big patchy GGO with irregular morphology in bilateral lungs. Peribronchovascular thickening and subpleural effusion were also found,"['FIGURE 3, CT imaging of a patient with both heart failure and COVID-19. B, Big patchy GGO with irregular morphology in bilateral lungs. Peribronchovascular thickening and subpleural effusion were also found. ']"
asymptomatic,"['Figure 4: Chest CTs of a asymptomatic patient, obtained on Fab 10 showed small patchy high density shadows and ground glass shadows in the lower lobe of the right lung near the pleural surface.']"
asymptomatic,"['Figure 4: Chest CTs of a asymptomatic patient, obtained on Fab 10 showed small patchy high density shadows and ground glass shadows in the lower lobe of the right lung near the pleural surface.']"
asymptomatic,"['Figure 4: Chest CTs of a asymptomatic patient, obtained on Fab 10 showed small patchy high density shadows and ground glass shadows in the lower lobe of the right lung near the pleural surface.']"
asymptomatic,"['Figure 4: Chest CTs of a asymptomatic patient, obtained on Fab 10 showed small patchy high density shadows and ground glass shadows in the lower lobe of the right lung near the pleural surface.']"
mild,['Figure 1. Representative chest radiographic manifestations in mild and severe cases with COVID-19. ']
mild,['Figure 1. Representative chest radiographic manifestations in mild and severe cases with COVID-19. ']
severe,['Figure 1. Representative chest radiographic manifestations in mild and severe cases with COVID-19. ']
severe,['Figure 1. Representative chest radiographic manifestations in mild and severe cases with COVID-19. ']
,"['Figure 1: Transverse thin-section CT scans in medical staffs infected with COVID-19 pneumonia. (A) 27-year-old woman: bilateral, peripheral ground-glass opacity in the right lower lobe and left upper lobe (arrow).']"
,['Figure 1: Transverse thin-section CT scans in medical staffs infected with COVID-19 pneumonia. (B) 41-year-old woman: focal ground-glass opacity associated with smooth interlobular and intralobular septal thickening (crazy-paving pattern).']
,"['Figure 1: Transverse thin-section CT scans in medical staffs infected with COVID-19 pneumonia. (C) 55-year-old man: bilateral, peripheral ground-glass opacity mixed consolidation pattern.']"
,"['Figure 1: Transverse thin-section CT scans in medical staffs infected with COVID-19 pneumonia. (D) 28-year-old man: bilateral and linear consolidations in the right and left upper lobes (arrow), regarded as chronic lung lesion with lack of changes on serial CT examinations.']"
,"['Figure 1. Chest computed tomographic (CT) images for study patients infected with COVID-19. Panel A depicted the chest CT images for a patient aged 21 years on day 10 after illness onset, and Panel B depicted the chest CT images for a patient aged 33 years on day 14 after illness onset.']"
,"['Figure 1. Chest computed tomographic (CT) images for study patients infected with COVID-19. Panel A depicted the chest CT images for a patient aged 21 years on day 10 after illness onset, and Panel B depicted the chest CT images for a patient aged 33 years on day 14 after illness onset.']"
,"['Figure 1. Chest computed tomographic (CT) images for study patients infected with COVID-19. Panel A depicted the chest CT images for a patient aged 21 years on day 10 after illness onset, and Panel B depicted the chest CT images for a patient aged 33 years on day 14 after illness onset.']"
,"['Figure 1. Chest computed tomographic (CT) images for study patients infected with COVID-19. Panel A depicted the chest CT images for a patient aged 21 years on day 10 after illness onset, and Panel B depicted the chest CT images for a patient aged 33 years on day 14 after illness onset.']"
,"['Figure 1. Transverse Chest Computed Tomographic Images. CT image from case 1 on day 1 after symptom onset, showing delicate patches of ground glass opacity of lower lobe of right lung near the pleura (1A, red arrow).']"
,"['Figure 1. Transverse Chest Computed Tomographic Images. After receiving treatment for 10 days, the lesions were completely absorbed(1B).']"
,"['Figure 1. Transverse Chest Computed Tomographic Images. Case 2 showed ground glass consolidation of the left lower lobe near the pleura on Admission (2A, red arrow).']"
,['Figure 1. Transverse Chest Computed Tomographic Images. Complete resolution of lesion was observed after treatment for 13 days (2B).']
no obvious abnormality,['Figure 1. Transverse Chest Computed Tomographic Images. There was no obvious abnormality in bilateral lung fields of case 3 on admission (3A).']
no change in CT imaging during hospitalization,['Figure 1. Transverse Chest Computed Tomographic Images. No change in CT imaging was observed during patient's hospitalization (3B).']
,['Figure 5: Some accurate and erroneous predictions of the proposed DeCoVNet.']
,['Figure 5: Some accurate and erroneous predictions of the proposed DeCoVNet.']
,['Figure 5: Some accurate and erroneous predictions of the proposed DeCoVNet.']
,['Figure 5: Some accurate and erroneous predictions of the proposed DeCoVNet.']
,['Fig 2. Typical Features of CT Images of Paediatric Patients with COVID-19.']
,['Fig 2. Typical Features of CT Images of Paediatric Patients with COVID-19.']
,['Fig 2. Typical Features of CT Images of Paediatric Patients with COVID-19.']
,['Fig 2. Typical Features of CT Images of Paediatric Patients with COVID-19.']
bilateral pleural effusion and pericardial effusion,['Figure 4. The course of chest CT images of case 8. (A) Images from January 26 show bilateral pleural effusion and pericardial effusion.']
severe coughing and dyspnea with normal blood cell count,['Figure 4. The course of chest CT images of case 8. (A) Images from January 26 show bilateral pleural effusion and pericardial effusion.']
viral infection,['Figure 4. The course of chest CT images of case 8. (A) Images from January 26 show bilateral pleural effusion and pericardial effusion.']
,['Figure 4. The course of chest CT images of case 8. (B) Images from February 3 show bilateral pleural effusion and pericardial effusion with a small area of ground-glass opacity in the left upper lung.']
,['Figure 4. The course of chest CT images of case 8. (B) Images from February 3 show bilateral pleural effusion and pericardial effusion with a small area of ground-glass opacity in the left upper lung.']
,['Figure 4. The course of chest CT images of case 8. (B) Images from February 3 show bilateral pleural effusion and pericardial effusion with a small area of ground-glass opacity in the left upper lung.']
,['Figure 4. The course of chest CT images of case 8. (C) Images from February 7 show increased ground-glass opacity of the left upper lung with bilateral pleural effusion. A small area of new ground-glass opacity appeared in the right lung.']
,['Figure 4. The course of chest CT images of case 8. (C) Images from February 7 show increased ground-glass opacity of the left upper lung with bilateral pleural effusion. A small area of new ground-glass opacity appeared in the right lung.']
,['Figure 4. The course of chest CT images of case 8. (C) Images from February 7 show increased ground-glass opacity of the left upper lung with bilateral pleural effusion. A small area of new ground-glass opacity appeared in the right lung.']
,"['Figure 4. The course of chest CT images of case 8. (D) Images from February 11 show the further enlarged ground-glass opacity of the left upper lung. New ground-glass opacity is visible in the rest areas of lungs. The left pleural effusion decreased, and the right pleural effusion increased.']"
,"['Figure 4. The course of chest CT images of case 8. (D) Images from February 11 show the further enlarged ground-glass opacity of the left upper lung. New ground-glass opacity is visible in the rest areas of lungs. The left pleural effusion decreased, and the right pleural effusion increased.']"
,"['Figure 4. The course of chest CT images of case 8. (D) Images from February 11 show the further enlarged ground-glass opacity of the left upper lung. New ground-glass opacity is visible in the rest areas of lungs. The left pleural effusion decreased, and the right pleural effusion increased.']"
"fever without obvious cause, the highest body temperature was 39 ℃, with fatigue, without cough, asthma
and dyspnea","['Figure 1. Chest CT imaging of the patient with COVID-19. Chest CT showed patchy high-density blurred shadow in the upper lobe of the left lung (Figure 1A) and patchy ground glass shadow in the anterior segment of the upper lobe of the right lung (Figure 1B). After treatment, chest CT showed that the previous lesions were almost absorbed. ']"
mild Covid-19,"['Figure 1. Chest CT imaging of the patient with COVID-19. Chest CT showed patchy high-density blurred shadow in the upper lobe of the left lung (Figure 1A) and patchy ground glass shadow in the anterior segment of the upper lobe of the right lung (Figure 1B). After treatment, chest CT showed that the previous lesions were almost absorbed. ']"
"high fever (40℃) at night, developed weakness of both lower limbs with urinary and bowel
incontinence, culminating in flaccid lower extremity paralysis","['Figure 1. Chest CT imaging of the patient with COVID-19. Chest CT showed patchy high-density blurred shadow in the upper lobe of the left lung (Figure 1A) and patchy ground glass shadow in the anterior segment of the upper lobe of the right lung (Figure 1B). After treatment, chest CT showed that the previous lesions were almost absorbed. ']"
,"['Figure 1. Chest CT imaging of the patient with COVID-19. Chest CT showed patchy high-density blurred shadow in the upper lobe of the left lung (Figure 1A) and patchy ground glass shadow in the anterior segment of the upper lobe of the right lung (Figure 1B). After treatment, chest CT showed that the previous lesions were almost absorbed. ']"
severe ,['Figure 1.Chest CTs of two patients (A) Chest CT of patient 9 obtained on Feb 9 (7 dpoi) before convalescent plasma transfusion (10 dpoi)showed ground glass opacity with uneven density involving the multilobal segments of both lungs. The heart shadow outline was not clear. The lesion was close to the pleura.']
severe ,['Figure 1.Chest CTs of two patients (B) CT Image of patient 9 taken on Feb 15(13 dpoi) showed the absorption of bilateral ground glassopacity after convalescent plasma transfusion. ']
severe ,['Figure 1.Chest CTs of two patients (C)Chest CT of patient 10 was obtained on Feb 8 (19 dpoi) before convalescent plasma transfusion (20 dpoi). The brightness of both lungs was diffusely decreased and multiple shadows of high density in both lungs were observed. ']
severe ,['Figure 1.Chest CTs of two patients (D) Chest CTof patient 10 on Feb 18 (29dpoi) showed those lesions improvedafter convalescent plasma transfusion. ']
asymptomatic ,"['Figure 1. The CT pattern of abnormal lung findings among asymptomatic patients with COVID-19. A patient 73 years old, female. The patchy non-segmental ground grass opacity (GGO) adjacent to the parietal pleura in the right upper lobe (A and B), and in both lower lobes (C and D). ']"
asymptomatic ,"['Figure 1. The CT pattern of abnormal lung findings among asymptomatic patients with COVID-19. A patient 73 years old, female. The patchy non-segmental ground grass opacity (GGO) adjacent to the parietal pleura in the right upper lobe (A and B), and in both lower lobes (C and D). ']"
asymptomatic ,"['Figure 1. The CT pattern of abnormal lung findings among asymptomatic patients with COVID-19. A patient 70 years old, female. The GGO with interlobular septal thickening (crazy-paving appearance) adjacent to the parietal pleura in the both lower lobes (E).']"
asymptomatic ,"['Figure 1. The CT pattern of abnormal lung findings among asymptomatic patients with COVID-19. A patient 76 years old, male. CT scan showed the GGO with consolidation, bronchial wall thickening, and bronchiectasis in the left lower lobe (F).']"
severe ,"['Figure 2. The progress of CT findings in a patient with COVID-19. A male patient 75 years old was asymptomatic on the admission day. On the fourth day of admission, he showed tachypnea and hypoxemia, and treated oxygen therapy. On the admission day, Chest CT scan showed multifocal GGO adjacent to the parietal pleura in multiple lobes with emphysematous changes (A, B and C).']"
severe ,"['Figure 2. The progress of CT findings in a patient with COVID-19. A male patient 75 years old was asymptomatic on the admission day. On the fourth day of admission, he showed tachypnea and hypoxemia, and treated oxygen therapy. On the admission day, Chest CT scan showed multifocal GGO adjacent to the parietal pleura in multiple lobes with emphysematous changes (A, B and C).']"
severe ,"['Figure 2. The progress of CT findings in a patient with COVID-19. A male patient 75 years old was asymptomatic on the admission day. On the fourth day of admission, he showed tachypnea and hypoxemia, and treated oxygen therapy. On the admission day, Chest CT scan showed multifocal GGO adjacent to the parietal pleura in multiple lobes with emphysematous changes (A, B and C).']"
severe ,"['Figure 2. The progress of CT findings in a patient with COVID-19. On the tenth day of admission, a follow-up chest CT scan showed an increase of extent of GGO with crazy-paving appearance (D, E and F).']"
severe ,"['Figure 2. The progress of CT findings in a patient with COVID-19. On the tenth day of admission, a follow-up chest CT scan showed an increase of extent of GGO with crazy-paving appearance (D, E and F).']"
severe ,"['Figure 2. The progress of CT findings in a patient with COVID-19. On the tenth day of admission, a follow-up chest CT scan showed an increase of extent of GGO with crazy-paving appearance (D, E and F).']"
severe ,['Figure 2. Chest Computed Tomographic Images of a 50-Year-Old Severe Patient Infected With Coronavirus Disease 2019. ']
severe ,['Figure 2. Chest Computed Tomographic Images of a 50-Year-Old Severe Patient Infected With Coronavirus Disease 2019. ']
severe ,['Figure 2. Chest Computed Tomographic Images of a 50-Year-Old Severe Patient Infected With Coronavirus Disease 2019. ']
severe ,['Figure 2. Chest Computed Tomographic Images of a 50-Year-Old Severe Patient Infected With Coronavirus Disease 2019. ']
severe ,['Figure 2. Chest Computed Tomographic Images of a 50-Year-Old Severe Patient Infected With Coronavirus Disease 2019. ']
severe ,['Figure 2. Chest Computed Tomographic Images of a 50-Year-Old Severe Patient Infected With Coronavirus Disease 2019. ']
mild ,"['Figure 4: Representative cases without malignant progression (A, B) and with malignant']"
mild ,"['Figure 4: Representative cases without malignant progression (A, B) and with malignant']"
